5,a rocket flies by followed by a loud explosion and fire crackling as a truck engine runs idle
7,a missile launching followed by an explosion and metal screeching as a motor hums in the background 
10,humming and vibrating with a man and children speaking and laughing
12,a toy train running as a young boy talks followed by plastic clanking then a child laughing
16,a repeating train horn and warning bells get louder as a train approaches
17,clattering of a train is ongoing a railroad crossing bell rings and a train horn blows
29,a man speaking as monkeys scream and dogs bark followed by birds cawing in the distance
30,a large truck driving by as an emergency siren wails and truck horn honks
31,a wailing siren fades a motor sputters then the siren resumes accompanied by blaring horns
39,a young kid speaking with a series of slapping on a hard surface as a baby is yelling
42,a bus engine running followed by a bus horn honking
44,a bus engine running followed by a vehicle horn honking
50,thunder and a gentle rain
60,a man talking as a stream of water trickles in the background
70,a woman singing then choking followed by birds chirping
74,person singing a long note and birds chirping
76,a train clicks on a track
86,a stream of water trickling followed by water pouring down a drain
90,an infant crying followed by a man laughing
92,an infant crying followed by a man laughing
101,a whistling noise with wind blowing in the background
103,a person whistling as wind blows lightly into a microphone
104,a person whistles with wind blowing
107,motor vehicles are driving with loud engines and a person whistles
109,someone in a crowd whistles while engines rev in cars going slowly by
125,birds are squawking and ducks are quacking
131,rapid gunfire and faint screaming
134,gunfire sounds with video game sounds
142,a man is talking as tap water is running
143,faucet running and a man speaks
154,men are communicating followed by a ticktock noise
158,an engine revving and then tires screeching
160,a woman speaking followed by a porcelain plate clanking as food and oil sizzles
163,food and oil sizzling followed by a woman talking then plastic thumping
184,a speedboat is traveling across water followed by strong wind noise
194,a baby crying followed by the voice of a woman
197,kids laughing then talking followed by a young man talking as wind blows into a microphone
199,people talk in the background and the wind is blows gently and two kids speak in the foreground
211,music playing as a man is speaking followed by a series of electronic beeping and meowing
212,electronic beeping followed by a cat singing then meowing as paper shuffles and a man talks with music playing in the background
236,a group of people screaming and laughing as firecrackers ignite then explode followed by a muffled explosion
237,screaming and a big explosion and then screaming
238,a group of people screaming followed by missiles launching and loud popping explosions then a slowed down explosion
250,an adult male is speaking in a quiet environment
253,an elderly man speaking
254,an elderly man speaking
256,warning bells ring and a horn blows as a train passes
257,warning bells ring and a train passes with a honking horn
259,a train running on railroad tracks while a train horn blows as railroad warning signals ring
261,a mid-size motor vehicle engine is revving repeatedly while people talk in the background
263,a vehicle engine revving several times as a crowd of people talk
266,footsteps shuffling followed by compressed air spraying then plastic camera muffling as birds chirp in the background
267,birds are chirping in the background rustling and clattering ensue then a hissing spray and more rustling and clattering occur
268,footsteps shuffling followed by compressed air spraying then plastic camera muffling as birds chirp in the background
271,a crowd of people talking as a man hollers and laughs while a group of ducks quack
274,a man shouting and hollering as ducks quack and chirp while wind blows into a microphone
